Part	Identification
ἀκούω	first principal part for ἀκούω, listen
ἀκούσομαι	second principal part for ἀκούω, listen
ἤκουσα	third principal part for ἀκούω, listen
ἀκήκοα	fourth principal part for ἀκούω, listen
ἠκουσάμην	sixth principal part for ἀκούω, listen
γίγνομαι	first principal part for γίγνομαι, become
γενήσομαι	second principal part for γίγνομαι, become
ἐγενόμην	third principal part for γίγνομαι, become
γέγονα	fourth principal part for γίγνομαι, become
γεγένημαι	fifth principal part for γίγνομαι, become
μένω	first principal part for μένω, remain
μενῶ	second principal part for μένω, remain
ἔμεινα	third principal part for μένω, remain
μεμένηκα	fourth principal part for μένω, remain
πυνθάνομαι	first principal part for πυνθάνομαι, inquire
πεύσομαι	second principal part for πυνθάνομαι, inquire
ἐπυθόμην	third principal part for πυνθάνομαι, inquire
πέπυσμαι	fifth principal part for πυνθάνομαι, inquire
διηγέομαι	first principal part for διηγέομαι, narrate
διηγήσομαι	second principal part for διηγέομαι, narrate
διηγησάμην	third principal part for διηγέομαι, narrate
διήγημαι	fifth principal part for διηγέομαι, narrate
παίζω	first principal part for παίζω, tease
παίσομαι	second principal part for παίζω, tease
ἔπαισα	third principal part for παίζω, tease
πέπαικα	fourth principal part for παίζω, tease
πέπαισμαι	fifth principal part for παίζω, tease
παραγίγνομαι	first principal part for παραγίγνομαι, be present
παραγενήσομαι	second principal part for παραγίγνομαι, be present
παρεγενόμην	third principal part for παραγίγνομαι, be present
παρεγενήθην	sixth principal part for παραγίγνομαι, be present
δέομαι	first principal part for δέομαι, want
δεήσομαι	second principal part for δέομαι, want
δεδέημαι	fifth principal part for δέομαι, want
ἐδενήθην	sixth principal part for δέομαι, want
διανοέομαι	first principal part for διανοέομαι, think
διανοήσομαι	second principal part for διανοέομαι, think
διανενόημαι	fifth principal part for διανοέομαι, think
διενοήθην	sixth principal part for διανοέομαι, think
ἐλεέω	first principal part for ἐλεέω, pity
ἠλέησα	third principal part for ἐλεέω, pity
ἥδομαι	first principal part for ἥδομαι, enjoy
ἡσθήσομαι	second principal part for ἥδομαι, enjoy
ἥσθην	sixth principal part for ἥδομαι, enjoy
μαίνομαι	first principal part for μαίνομαι, rage
μανήσομαι/μανοῦμαι	second principal part for μαίνομαι, rage
ἐμηνάμην	third principal part for μαίνομαι, rage
μέμηνα	fourth principal part for μαίνομαι, rage
μεμάνημαι	fifth principal part for μαίνομαι, rage
