translation,first,second,third,fourth,fifth,sixth
listen,ἀκούω,ἀκούσομαι,ἤκουσα,ἀκήκοα,,ἠκουσάμην
become,γίγνομαι,γενήσομαι,ἐγενόμην,γέγονα,γεγένημαι
remain,μένω,μενῶ,ἔμεινα,μεμένηκα,,
inquire,πυνθάνομαι,πεύσομαι,ἐπυθόμην,,πέπυσμαι
narrate,διηγέομαι,διηγήσομαι,διηγησάμην,,διήγημαι,
tease,παίζω,παίσομαι,ἔπαισα,πέπαικα,πέπαισμαι,
be present,παραγίγνομαι,παραγενήσομαι,παρεγενόμην,,,παρεγενήθην
want,δέομαι,δεήσομαι,,,δεδέημαι,ἐδενήθην
think,διανοέομαι,διανοήσομαι,,,διανενόημαι,διενοήθην
pity,ἐλεέω,,ἠλέησα,,,
enjoy,ἥδομαι,ἡσθήσομαι,,,,ἥσθην
rage,μαίνομαι,μανήσομαι/μανοῦμαι,ἐμηνάμην,μέμηνα,μεμάνημαι,ἐμάνην
think,οἴομαι/οἶμαι,οἰήσομαι,,,,ᾠήθην
agree,ὁμολογέω,ὁμολογήσω,ὡμολόγησα,ὡμολόγηκα,ὡμολόγημαι,ὡμολογήθην
test,πειράω,πειράσω,ἐπείρασα,πεπείρακα,πεπείραμαι,ἐπειράθην
journey,πορεύομαι,πορεύσομαι,ἐπορευσάμην,,πεπόρευμαι,
help,ὠφελέω,ὠφελήσω,ὠφέλησα,ὠφέληκα,ὠφέλημαι,ὠφελήθην
lead,ἄγω,ἄξω,ἤγαγον,ἦχα,ἦγμαι,ἤχθην
speak,λέγω,λέξω/ἐρῶ,εἶπον/ἔλεξα,εἴρηκα,εἴρημαι,ἐρρήθην/ἐλέχθην
happen upon,τυγχάνω,τεύξομαι,ἔτυχον,τετύχηκα/τέτευχα,,
dine,δειπνέω,δειπνήσω,ἐδείπνησα,δεδείπνηκα,δεδείπνημαι,ἐδειπνήθην
discuss,διαλέγομαι,διαλέξομαι,διαλεχθήσομαι,,διείλεγμαι,διελέχθην
permit,ἐάω,ἐάσω,εἴασα,εἴακα,εἴαμαι,εἰάθην
happen upon,ἐντυγχάνω,-τεύξομαι,-ἔτυχον,-τετύχηκα/-τέτευχα,,
lay down,κατακλίνω,-κλινῶ,-έκλινα,-κέκλινα,,-εκλίνην
lie dead,κεῖμαι,κείσομαι,,,,
set in motion,κινέω,κινήσω,ἐκίνησα,κεκίνηκα,κεκίνημαι,ἐκινήθην
look around,σκέπτομαι/σκοπέω,σκέψομαι,ἐσκεψάμην,,ἔσκεμμαι
advance,χωρέω,χωρήσομαι,ἐχώρησα,κεχώρηκα,κεχώρημαι,ἐχωρήθην
